asap1_id,Region,Rain,Drought,Country,Continent,name1_shr,km2_tot,km2_crop,km2_range,aezmedian
73,N. De Santander,17.0,0.0,Colombia,South America,N. De Santander,22807.0,749.0,3847.0,
74,Putumayo,0.0,0.0,Colombia,South America,Putumayo,23809.0,435.0,320.0,
75,Zanzan,12.0,0.0,Côte d'Ivoire,Africa,Zanzan,38138.0,7275.0,13890.0,313.0
76,Bas Sassandra,14.0,0.0,Côte d'Ivoire,Africa,Bas Sassandra,28041.0,4403.0,155.0,314.0
77,Ouham Pendé,6.0,0.0,Central Africa,Africa,Ouham PendÃ©,31725.0,1302.0,17793.0,313.0
78,Meta,11.0,0.0,Colombia,South America,Meta,85326.0,1244.0,37240.0,
79,Narino,15.0,0.0,Colombia,South America,Narino,31676.0,4281.0,3551.0,
81,,,,,,Hungary,93119.0,54770.0,29079.0,
82,,,,,,Unit unavailable,11234.0,0.0,1617.0,
83,Kuril islands,0.0,0.0,Kuril islands,Asia,Kuril islands,4899.0,0.0,0.0,
84,Kuwait,0.0,0.0,Kuwait,Asia,Kuwait,17235.0,65.0,0.0,
85,Umbria,19.0,0.0,Italy,Europe,Umbria,8450.0,4215.0,1135.0,
86,Vaupes,7.0,0.0,Colombia,South America,Vaupes,53454.0,5.0,29.0,
87,Sucumbios,2.0,0.0,Ecuador,South America,Sucumbios,17992.0,1863.0,133.0,
88,Cuvette,0.0,0.0,Congo,Africa,Cuvette,44652.0,186.0,5367.0,314.0
89,Latvia,3.0,3.0,Latvia,Europe,Latvia,64563.0,19529.0,24529.0,
90,Republika Srpska,3.0,0.0,Bosnia Herzeg.,Europe,Republika Srpska,24777.0,8366.0,6287.0,
91,Central,12.0,22.0,Botswana,Africa,Central,146717.0,4481.0,79843.0,311.0
92,Plateaux,0.0,0.0,Congo,Africa,Plateaux,39728.0,793.0,22273.0,314.0
93,Oum El Bouaghi,4.0,6.0,Algeria,Africa,Oum El Bouaghi,6261.0,4358.0,2156.0,223.0
94,Sangha,0.0,0.0,Congo,Africa,Sangha,57694.0,110.0,4.0,314.0
95,Himachal Pradesh,29.0,0.0,India,Asia,Himachal Pradesh,54599.0,14886.0,21697.0,
96,Lombardia,12.0,1.0,Italy,Europe,Lombardia,23932.0,11001.0,3945.0,
97,Hukui,16.0,0.0,Japan,Asia,Hukui,4157.0,644.0,37.0,
98,Kalimantan S.,21.0,0.0,Indonesia,Asia,Kalimantan S.,37283.0,11292.0,4.0,
99,Puglia,16.0,0.0,Italy,Europe,Puglia,19284.0,15583.0,2099.0,
100,,,,,,Bandundu,297976.0,4155.0,2808.0,314.0
101,Logar,18.0,8.0,Afghanistan,Asia,Logar,4398.0,730.0,3505.0,
102,,,,,,Bas-Congo,53391.0,1099.0,169.0,313.0
103,Mid West,37.0,0.0,Nepal,Asia,Mid West,42581.0,4930.0,6174.0,
106,Upper West,7.0,1.0,Ghana,Africa,Upper West,18745.0,3584.0,1381.0,313.0
107,Eastern Finland,12.0,1.0,Finland,Europe,Eastern Finland,60687.0,3664.0,6.0,
108,Sardegna,19.0,1.0,Italy,Europe,Sardegna,23981.0,10675.0,2954.0,
109,Gifu,16.0,0.0,Japan,Asia,Gifu,10600.0,1158.0,26.0,
110,Gunma,17.0,0.0,Japan,Asia,Gunma,6364.0,1572.0,76.0,
111,Hirosima,16.0,0.0,Japan,Asia,Hirosima,8082.0,855.0,101.0,
113,West,21.0,4.0,Nepal,Asia,West,29418.0,4328.0,4020.0,
114,Auckland,4.0,0.0,New Zealand,Oceania,Auckland,5153.0,723.0,1052.0,
115,Kalimantan T.,10.0,0.0,Indonesia,Asia,Kalimantan T.,153669.0,16566.0,69.0,
116,Nangarhar,18.0,2.0,Afghanistan,Asia,Nangarhar,7369.0,1236.0,3957.0,
117,Sabah,6.0,0.0,Malaysia,Asia,Sabah,73047.0,10822.0,10.0,
118,,,,,,Unit unavailable,17983.0,0.0,507.0,
119,Meknès,14.0,4.0,Morocco,Africa,MeknÃ¨s,60112.0,5447.0,27799.0,221.0
120,Oriental,14.0,10.0,Morocco,Africa,Oriental,59821.0,4648.0,32149.0,221.0
121,Cabo Delgado,2.0,0.0,Mozambique,Africa,Cabo Delgado,77868.0,1970.0,6996.0,313.0
122,Gaza,11.0,8.0,Mozambique,Africa,Gaza,75487.0,6271.0,7637.0,312.0
123,Inhambane,8.0,0.0,Mozambique,Africa,Inhambane,68651.0,3174.0,6760.0,313.0
124,Cajamarca,15.0,0.0,Peru,South America,Cajamarca,32891.0,1987.0,8604.0,
125,Manica,8.0,3.0,Mozambique,Africa,Manica,62481.0,3548.0,6479.0,313.0
126,Huancavelica,9.0,0.0,Peru,South America,Huancavelica,22083.0,1616.0,5887.0,
127,Nampula,12.0,0.0,Mozambique,Africa,Nampula,78218.0,5054.0,8795.0,313.0
128,Hyoogo,12.0,0.0,Japan,Asia,Hyoogo,8341.0,2083.0,224.0,
129,Niassa,8.0,1.0,Mozambique,Africa,Niassa,122124.0,6472.0,14317.0,312.0
130,Zambezia,10.0,0.0,Mozambique,Africa,Zambezia,103276.0,16483.0,15440.0,313.0
131,Sofala,6.0,4.0,Mozambique,Africa,Sofala,67997.0,4914.0,15813.0,313.0
132,Khatlon,9.0,2.0,Tajikistan,Asia,Khatlon,22880.0,11109.0,12899.0,
133,Tete,9.0,3.0,Mozambique,Africa,Tete,100775.0,7448.0,6926.0,312.0
134,Mombasa,0.0,0.0,Kenya,Africa,Mombasa,299.0,49.0,0.0,313.0
135,Badakhshoni Kuni,0.0,0.0,Tajikistan,Asia,Badakhshoni Kuni,62562.0,168.0,43490.0,
136,Kyooto,18.0,0.0,Japan,Asia,Kyooto,4720.0,630.0,61.0,
137,Arequipa,8.0,0.0,Peru,South America,Arequipa,63317.0,1368.0,6241.0,
138,Ica,0.0,0.0,Peru,South America,Ica,21317.0,1372.0,941.0,
139,Ayacucho,7.0,0.0,Peru,South America,Ayacucho,43556.0,2186.0,11167.0,
140,Okinawa,8.0,0.0,Japan,Asia,Okinawa,1717.0,503.0,67.0,
141,Cusco,15.0,0.0,Peru,South America,Cusco,72243.0,1582.0,22613.0,
142,Huánuco,21.0,0.0,Peru,South America,HuÃ¡nuco,37082.0,2344.0,10675.0,
143,Kumamoto,12.0,0.0,Japan,Asia,Kumamoto,7274.0,1457.0,54.0,
144,Hokkaidoo,9.0,0.0,Japan,Asia,Hokkaidoo,78231.0,13469.0,1151.0,
146,Miyagi,26.0,0.0,Japan,Asia,Miyagi,7302.0,2334.0,113.0,
147,Miyazaki,14.0,0.0,Japan,Asia,Miyazaki,7850.0,872.0,29.0,
148,Bremen,0.0,0.0,Germany,Europe,Bremen,313.0,17.0,169.0,
149,Nagasaki,16.0,0.0,Japan,Asia,Nagasaki,3355.0,614.0,14.0,
150,Okayama,18.0,0.0,Japan,Asia,Okayama,7058.0,1231.0,84.0,
151,Junín,9.0,0.0,Peru,South America,JunÃ­n,44630.0,1247.0,9189.0,
152,Lima,0.0,0.0,Peru,South America,Lima,35514.0,1931.0,5565.0,
153,La Libertad,2.0,3.0,Peru,South America,La Libertad,25296.0,3994.0,7170.0,
154,Lambayeque,0.0,0.0,Peru,South America,Lambayeque,14162.0,1958.0,2513.0,
155,Moskva,0.0,0.0,Russian Fed.,Asia,Moskva,990.0,7.0,72.0,
